Gmt time,Open,High,Low,Close,Volume
06.06.2017 00:00:00.000,110.394,110.445,109.227,109.499,158022.3281
07.06.2017 00:00:00.000,109.496,109.919,109.116,109.917,151123.0156
08.06.2017 00:00:00.000,109.918,110.384,109.380,109.874,164448.75
09.06.2017 00:00:00.000,109.873,110.810,109.867,110.329,152926.7344
11.06.2017 00:00:00.000,110.298,110.439,110.276,110.309,5121.6401
12.06.2017 00:00:00.000,110.310,110.339,109.633,109.929,149654.2344
13.06.2017 00:00:00.000,109.930,110.271,109.914,110.067,120192.3438
14.06.2017 00:00:00.000,110.069,110.342,108.814,109.446,187307.8438
15.06.2017 00:00:00.000,109.442,110.995,109.396,110.995,177874.6719
16.06.2017 00:00:00.000,110.993,111.417,110.646,110.857,148318.7969
18.06.2017 00:00:00.000,110.869,110.980,110.731,110.973,7426.2202
19.06.2017 00:00:00.000,110.970,111.741,110.909,111.696,144884.9063
20.06.2017 00:00:00.000,111.697,111.787,111.270,111.338,153519.2188
21.06.2017 00:00:00.000,111.337,111.739,111.068,111.327,180093.4531
22.06.2017 00:00:00.000,111.330,111.446,110.950,111.296,166823.5625
23.06.2017 00:00:00.000,111.296,111.430,111.155,111.264,124751.8984
25.06.2017 00:00:00.000,111.103,111.323,111.103,111.237,5424.4702
26.06.2017 00:00:00.000,111.236,111.945,111.213,111.870,138648.0469
27.06.2017 00:00:00.000,111.870,112.465,111.461,112.196,174482.625
28.06.2017 00:00:00.000,112.196,112.415,111.830,112.354,198298.5625
29.06.2017 00:00:00.000,112.350,112.925,111.812,111.995,206549.0469
30.06.2017 00:00:00.000,111.997,112.606,111.733,112.352,167763.2344
02.07.2017 00:00:00.000,112.058,112.387,112.058,112.244,7747.5801
03.07.2017 00:00:00.000,112.241,113.471,112.197,113.384,146699.0313
04.07.2017 00:00:00.000,113.387,113.391,112.740,112.966,131161.875
05.07.2017 00:00:00.000,112.968,113.686,112.825,113.199,160265
06.07.2017 00:00:00.000,113.201,113.469,112.886,113.154,160897.9063
07.07.2017 00:00:00.000,113.153,114.179,113.153,113.894,149472.5469
09.07.2017 00:00:00.000,113.863,114.064,113.858,113.972,8076.4702
10.07.2017 00:00:00.000,113.971,114.301,113.907,114.062,121525.2188
11.07.2017 00:00:00.000,114.062,114.494,113.718,113.748,335283.0938
12.07.2017 00:00:00.000,113.465,113.573,113.462,113.533,1516
13.07.2017 00:00:00.000,113.325,113.527,112.860,113.422,168183.9063
14.07.2017 00:00:00.000,113.424,113.576,112.260,112.519,161593.7031
16.07.2017 00:00:00.000,112.442,112.620,112.398,112.410,10019.1504
17.07.2017 00:00:00.000,112.414,112.867,112.328,112.602,167054.2344
18.07.2017 00:00:00.000,112.601,112.622,111.686,111.992,188373.5
19.07.2017 00:00:00.000,111.993,112.231,111.554,111.883,195354.625
20.07.2017 00:00:00.000,111.883,112.418,111.477,111.890,199402.875
21.07.2017 00:00:00.000,111.890,112.077,111.012,111.121,152840.2188
23.07.2017 00:00:00.000,111.101,111.200,110.922,110.932,9307.0195
24.07.2017 00:00:00.000,110.934,111.317,110.622,111.235,155935.625
25.07.2017 00:00:00.000,111.240,112.029,110.828,112.009,181514.5313
