Gmt time,Open,High,Low,Close,Volume
16.02.2017 00:00:00.000,17.409,18.390,17.377,17.506,39.9132
17.02.2017 00:00:00.000,17.918,18.040,17.470,17.535,19.5328
21.02.2017 00:00:00.000,17.295,17.820,17.240,17.738,17.9609
22.02.2017 00:00:00.000,17.899,18.150,17.610,17.817,18.6817
23.02.2017 00:00:00.000,17.858,18.570,17.820,18.266,25.5502
24.02.2017 00:00:00.000,18.959,19.050,18.020,18.066,24.9917
27.02.2017 00:00:00.000,18.068,18.230,17.590,17.970,20.2265
28.02.2017 00:00:00.000,18.068,18.540,17.960,18.427,19.0106
01.03.2017 00:00:00.000,17.615,18.060,17.509,18.017,20.9967
02.03.2017 00:00:00.000,18.039,18.240,17.690,18.058,20.5806
03.03.2017 00:00:00.000,17.786,17.820,17.448,17.536,16.084
06.03.2017 00:00:00.000,17.485,17.570,17.137,17.200,14.0832
07.03.2017 00:00:00.000,17.198,17.400,16.920,17.199,15.5427
08.03.2017 00:00:00.000,17.039,17.390,16.870,17.317,15.9658
09.03.2017 00:00:00.000,17.227,17.540,17.030,17.249,20.4294
10.03.2017 00:00:00.000,17.069,17.320,16.980,17.000,18.3777
13.03.2017 00:00:00.000,16.928,17.022,16.847,16.860,990.6446
14.03.2017 00:00:00.000,16.709,17.022,16.587,16.929,1896.6304
15.03.2017 00:00:00.000,16.758,16.820,16.190,16.328,21.4026
16.03.2017 00:00:00.000,16.228,16.270,15.970,15.995,17.5049
17.03.2017 00:00:00.000,15.840,15.910,15.570,15.790,10.23
20.03.2017 00:00:00.000,15.780,15.830,15.600,15.820,8.56
21.03.2017 00:00:00.000,15.510,16.570,15.410,16.400,40.05
22.03.2017 00:00:00.000,16.590,16.810,16.250,16.490,28.91
23.03.2017 00:00:00.000,16.660,17.150,16.280,17.070,25.29
24.03.2017 00:00:00.000,16.780,17.490,16.450,16.745,36.5661
27.03.2017 00:00:00.000,17.410,17.510,16.266,16.426,29.07
28.03.2017 00:00:00.000,16.248,16.260,15.486,15.518,18
29.03.2017 00:00:00.000,15.436,15.580,15.296,15.446,12.11
30.03.2017 00:00:00.000,15.460,15.668,15.398,15.516,11.49
31.03.2017 00:00:00.000,15.548,15.820,15.429,15.788,12.21
03.04.2017 00:00:00.000,15.796,16.448,15.726,15.859,192.5561
04.04.2017 00:00:00.000,16.087,16.159,15.598,15.658,182.206
05.04.2017 00:00:00.000,15.495,16.239,15.326,16.179,206.5446
06.04.2017 00:00:00.000,16.007,16.117,15.555,15.888,227.0341
07.04.2017 00:00:00.000,16.119,16.510,15.946,16.447,212.1535
10.04.2017 00:00:00.000,16.530,17.070,16.316,17.068,191.3546
11.04.2017 00:00:00.000,17.488,18.019,17.366,17.839,245.6201
12.04.2017 00:00:00.000,17.855,18.106,17.597,17.898,239.1824
13.04.2017 00:00:00.000,17.967,18.390,17.616,18.258,192.8187
17.04.2017 00:00:00.000,17.958,17.978,17.345,17.349,156.2351
18.04.2017 00:00:00.000,17.565,17.887,17.186,17.216,193.5792
19.04.2017 00:00:00.000,16.928,17.750,16.825,17.615,172.966
20.04.2017 00:00:00.000,17.365,17.640,17.009,17.159,190.6711
21.04.2017 00:00:00.000,17.286,17.600,17.176,17.199,173.4909
