Gmt time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000,125.570,125.810,125.340,125.530,28.1138
27.01.2017 00:00:00.000,125.800,125.910,125.390,125.770,27.9632
30.01.2017 00:00:00.000,125.370,125.370,124.120,124.830,93.9628
31.01.2017 00:00:00.000,124.370,124.590,123.850,124.580,98.0479
01.02.2017 00:00:00.000,125.420,125.670,124.860,125.420,42.287
02.02.2017 00:00:00.000,125.190,125.690,124.850,125.306,53.7258
03.02.2017 00:00:00.000,125.476,125.800,125.330,125.666,55.7714
06.02.2017 00:00:00.000,125.446,125.840,125.350,125.816,47.5793
07.02.2017 00:00:00.000,126.057,126.540,125.970,126.279,42.7404
08.02.2017 00:00:00.000,126.107,126.670,125.880,126.486,46.5412
09.02.2017 00:00:00.000,126.650,127.230,126.560,126.966,36.7233
10.02.2017 00:00:00.000,127.189,127.550,127.020,127.368,37.161
13.02.2017 00:00:00.000,127.759,128.260,127.710,128.089,29.0367
14.02.2017 00:00:00.000,128.139,128.530,127.730,128.518,44.6478
15.02.2017 00:00:00.000,128.447,129.340,128.370,129.276,42.6078
16.02.2017 00:00:00.000,129.377,129.620,128.920,129.239,54.7238
17.02.2017 00:00:00.000,129.088,129.810,129.040,129.796,42.8748
21.02.2017 00:00:00.000,130.030,130.520,129.980,130.426,38.1811
22.02.2017 00:00:00.000,130.307,130.580,130.110,130.485,38.2265
23.02.2017 00:00:00.000,130.668,130.668,129.480,130.009,49.5451
24.02.2017 00:00:00.000,129.476,130.250,129.369,130.246,46.7714
27.02.2017 00:00:00.000,130.009,130.420,129.800,130.406,40.8236
28.02.2017 00:00:00.000,130.379,130.430,129.650,130.005,40.9051
01.03.2017 00:00:00.000,130.809,131.670,130.600,131.428,43.9612
02.03.2017 00:00:00.000,131.428,131.428,130.620,130.768,49.0612
03.03.2017 00:00:00.000,130.648,131.050,130.340,131.005,52.7567
06.03.2017 00:00:00.000,130.549,130.940,130.210,130.718,40.3681
07.03.2017 00:00:00.000,130.439,131.070,130.280,130.499,42.3488
08.03.2017 00:00:00.000,130.558,131.140,130.460,130.726,48.5779
09.03.2017 00:00:00.000,130.708,131.020,130.140,130.827,61.5504
10.03.2017 00:00:00.000,131.408,131.599,130.820,131.379,60.9255
13.03.2017 00:00:00.000,131.331,131.522,131.258,131.368,562.0593
14.03.2017 00:00:00.000,131.300,131.362,130.828,130.850,692.7084
15.03.2017 00:00:00.000,131.568,132.400,131.140,132.076,55.6642
16.03.2017 00:00:00.000,132.327,132.340,131.710,132.007,39.4966
17.03.2017 00:00:00.000,131.870,132.030,131.630,131.640,22.3
20.03.2017 00:00:00.000,131.630,132.100,131.460,131.790,23.89
21.03.2017 00:00:00.000,132.290,132.420,129.730,129.820,85.91
22.03.2017 00:00:00.000,129.860,130.810,129.670,130.680,58.6
23.03.2017 00:00:00.000,130.420,130.870,130.140,130.400,69.43
24.03.2017 00:00:00.000,130.790,131.280,130.130,130.616,84.9899
27.03.2017 00:00:00.000,129.690,131.060,129.400,130.848,88.05
28.03.2017 00:00:00.000,130.806,132.020,130.546,131.648,102.32
29.03.2017 00:00:00.000,131.710,132.290,131.586,132.236,79.58
30.03.2017 00:00:00.000,132.208,132.608,132.076,132.448,74.52
31.03.2017 00:00:00.000,132.278,132.728,132.116,132.368,58.64
03.04.2017 00:00:00.000,132.498,132.798,131.548,132.278,210.348
04.04.2017 00:00:00.000,131.887,132.519,131.870,132.497,203.5762
05.04.2017 00:00:00.000,132.687,133.470,131.710,131.956,228.8549
06.04.2017 00:00:00.000,132.099,132.389,131.698,132.037,250.6654
07.04.2017 00:00:00.000,131.977,132.360,131.498,131.949,207.2858
10.04.2017 00:00:00.000,132.095,132.559,131.646,131.998,203.359
