Gmt time,Open,High,Low,Close,Volume
11.05.2017 00:00:00.000,209.200,209.450,208.090,209.320,82.33
12.05.2017 00:00:00.000,209.040,209.280,208.800,209.020,56.39
15.05.2017 00:00:00.000,209.450,210.110,209.410,209.900,49.84
16.05.2017 00:00:00.000,210.280,210.450,209.440,209.920,57.94
17.05.2017 00:00:00.000,208.180,208.580,206.370,206.480,115.38
18.05.2017 00:00:00.000,205.840,207.950,205.830,206.940,125.71
19.05.2017 00:00:00.000,206.730,208.310,206.560,207.750,81.81
22.05.2017 00:00:00.000,208.330,208.860,208.310,208.640,71.03
23.05.2017 00:00:00.000,209.080,209.340,208.680,209.080,66.86
24.05.2017 00:00:00.000,209.270,209.950,209.050,209.818,50.3658
25.05.2017 00:00:00.000,210.366,210.920,210.290,210.557,52.6672
26.05.2017 00:00:00.000,210.490,210.710,210.310,210.506,34.9224
30.05.2017 00:00:00.000,210.230,210.520,209.970,210.146,39.3006
31.05.2017 00:00:00.000,210.318,210.390,209.300,209.950,69.0624
01.06.2017 00:00:00.000,210.208,211.349,209.890,211.326,57.0566
02.06.2017 00:00:00.000,211.418,212.200,211.250,211.858,55.1832
05.06.2017 00:00:00.000,211.776,212.200,211.630,211.777,38.5906
06.06.2017 00:00:00.000,211.220,211.770,211.140,211.349,52.1097
07.06.2017 00:00:00.000,211.578,211.910,211.130,211.688,54.614
08.06.2017 00:00:00.000,211.559,212.680,211.380,211.820,52.2058
09.06.2017 00:00:00.000,212.109,213.050,211.558,212.616,81.8866
12.06.2017 00:00:00.000,212.470,212.779,211.870,212.336,88.7144
13.06.2017 00:00:00.000,212.646,213.370,212.646,213.298,58.1301
14.06.2017 00:00:00.000,213.610,213.990,213.000,213.779,81.6356
15.06.2017 00:00:00.000,212.799,213.790,212.740,213.668,65.756
16.06.2017 00:00:00.000,213.189,213.560,212.800,213.496,66.9027
19.06.2017 00:00:00.000,214.198,215.010,214.080,214.930,61.3971
20.06.2017 00:00:00.000,214.850,215.050,214.356,214.376,61.8068
21.06.2017 00:00:00.000,214.600,214.600,213.620,213.870,109.98
22.06.2017 00:00:00.000,213.840,214.280,213.650,213.710,93.78
23.06.2017 00:00:00.000,213.350,213.950,213.060,213.660,116.56
26.06.2017 00:00:00.000,214.290,214.770,213.520,213.840,95.09
27.06.2017 00:00:00.000,213.750,214.140,212.880,212.890,116.29
28.06.2017 00:00:00.000,213.700,214.510,213.650,214.220,114.75
29.06.2017 00:00:00.000,214.400,214.550,211.660,212.630,157.28
30.06.2017 00:00:00.000,213.440,213.970,212.940,213.200,105.48
03.07.2017 00:00:00.000,213.910,215.360,213.910,214.520,75.04
05.07.2017 00:00:00.000,214.720,214.800,213.810,214.550,115.97
06.07.2017 00:00:00.000,214.030,214.240,212.920,213.120,122.92
07.07.2017 00:00:00.000,213.530,214.140,213.400,213.990,102.34
10.07.2017 00:00:00.000,213.680,214.350,213.510,214.010,107.83
11.07.2017 00:00:00.000,213.960,214.290,212.660,214.000,110.84
12.07.2017 00:00:00.000,214.950,215.690,214.870,215.210,106.24
13.07.2017 00:00:00.000,215.230,215.560,214.990,215.460,110.06
14.07.2017 00:00:00.000,215.270,216.680,215.070,216.270,84.45
17.07.2017 00:00:00.000,216.270,216.480,216.030,216.180,88.99
18.07.2017 00:00:00.000,215.600,215.810,214.640,215.680,107.57
19.07.2017 00:00:00.000,215.800,216.320,215.630,216.320,93.97
20.07.2017 00:00:00.000,216.450,216.570,215.700,216.130,98.01
21.07.2017 00:00:00.000,215.330,215.540,214.760,215.510,116.93
24.07.2017 00:00:00.000,215.450,215.510,214.680,215.040,95.9
25.07.2017 00:00:00.000,216.420,216.440,215.490,215.860,125.15
26.07.2017 00:00:00.000,216.750,217.160,216.540,216.800,114.89
27.07.2017 00:00:00.000,217.260,217.740,216.620,217.710,121.26
28.07.2017 00:00:00.000,217.670,218.150,217.280,218.030,122.53
31.07.2017 00:00:00.000,218.600,219.020,218.480,218.730,89.47
01.08.2017 00:00:00.000,219.590,219.660,219.130,219.330,99.44
02.08.2017 00:00:00.000,219.800,220.130,219.420,219.890,97.12
03.08.2017 00:00:00.000,219.930,220.230,219.710,220.010,110.55
04.08.2017 00:00:00.000,220.490,220.640,220.020,220.600,118.81
07.08.2017 00:00:00.000,220.780,220.980,220.590,220.920,72.45
08.08.2017 00:00:00.000,220.700,221.670,220.440,220.730,95.64
09.08.2017 00:00:00.000,220.280,220.600,219.950,220.470,126.65
10.08.2017 00:00:00.000,219.710,219.890,218.550,218.590,157.4
11.08.2017 00:00:00.000,218.780,219.210,218.520,218.690,139.77
14.08.2017 00:00:00.000,219.810,220.280,219.800,219.960,101.37
15.08.2017 00:00:00.000,220.400,220.420,219.810,220.130,103.33
16.08.2017 00:00:00.000,220.630,221.100,220.270,220.500,127.08
17.08.2017 00:00:00.000,219.950,220.080,217.760,217.800,164.02
18.08.2017 00:00:00.000,216.910,217.650,216.150,216.430,140.57
21.08.2017 00:00:00.000,216.400,216.910,215.710,216.730,138.52
22.08.2017 00:00:00.000,217.360,218.840,217.290,218.710,110.93
23.08.2017 00:00:00.000,217.820,218.460,217.820,217.920,91.61
24.08.2017 00:00:00.000,218.370,218.500,217.430,217.640,125.64
25.08.2017 00:00:00.000,218.260,218.920,217.980,218.060,104.12
28.08.2017 00:00:00.000,218.490,218.490,217.510,217.900,113.08
29.08.2017 00:00:00.000,216.590,218.750,216.590,218.620,129.42
30.08.2017 00:00:00.000,218.600,219.160,218.370,218.890,99.44
31.08.2017 00:00:00.000,219.520,219.890,219.110,219.540,106.17
01.09.2017 00:00:00.000,220.000,220.410,219.790,219.890,80.33
05.09.2017 00:00:00.000,219.210,219.350,217.180,217.670,117.86
06.09.2017 00:00:00.000,218.460,218.600,218.030,218.190,135.69
07.09.2017 00:00:00.000,218.450,218.710,217.660,218.060,101.11
08.09.2017 00:00:00.000,217.680,218.670,217.500,218.200,100.61
