Gmt time,Open,High,Low,Close,Volume
01.02.2018 00:00:00.000,16.187,16.268,16.118,16.248,255.8145
02.02.2018 00:00:00.000,16.008,16.008,15.627,15.638,369.9306
05.02.2018 00:00:00.000,15.908,15.918,15.717,15.738,331.5586
06.02.2018 00:00:00.000,15.738,15.748,15.627,15.648,422.8896
07.02.2018 00:00:00.000,15.517,15.568,15.337,15.398,366.3462
08.02.2018 00:00:00.000,15.508,15.528,15.407,15.447,368.5594
09.02.2018 00:00:00.000,15.378,15.388,15.257,15.377,443.2043
12.02.2018 00:00:00.000,15.497,15.668,15.487,15.568,269.0858
13.02.2018 00:00:00.000,15.578,15.658,15.507,15.608,226.5082
14.02.2018 00:00:00.000,15.658,15.958,15.637,15.908,314.526
15.02.2018 00:00:00.000,15.898,15.928,15.687,15.908,262.4034
16.02.2018 00:00:00.000,15.817,15.878,15.658,15.727,291.3126
20.02.2018 00:00:00.000,15.688,15.718,15.487,15.527,294.0222
21.02.2018 00:00:00.000,15.627,15.808,15.517,15.537,310.3147
22.02.2018 00:00:00.000,15.627,15.728,15.597,15.658,273.6419
23.02.2018 00:00:00.000,15.618,15.618,15.557,15.577,177.924
26.02.2018 00:00:00.000,15.648,15.678,15.537,15.678,191.2645
27.02.2018 00:00:00.000,15.628,15.638,15.387,15.478,287.6353
28.02.2018 00:00:00.000,15.507,15.558,15.427,15.447,240.8748
01.03.2018 00:00:00.000,15.307,15.598,15.237,15.538,380.0565
02.03.2018 00:00:00.000,15.608,15.618,15.487,15.558,255.0042
05.03.2018 00:00:00.000,15.467,15.498,15.417,15.477,229.5315
06.03.2018 00:00:00.000,15.687,15.888,15.677,15.767,265.1437
07.03.2018 00:00:00.000,15.627,15.638,15.477,15.528,289.3221
08.03.2018 00:00:00.000,15.538,15.558,15.477,15.547,336.7634
09.03.2018 00:00:00.000,15.497,15.728,15.467,15.628,231.0721
12.03.2018 00:00:00.000,15.527,15.608,15.507,15.598,220.4202
13.03.2018 00:00:00.000,15.618,15.668,15.527,15.607,271.4495
14.03.2018 00:00:00.000,15.608,15.618,15.557,15.597,210.5663
15.03.2018 00:00:00.000,15.518,15.518,15.427,15.437,197.9429
16.03.2018 00:00:00.000,15.457,15.468,15.277,15.387,193.7544
19.03.2018 00:00:00.000,15.358,15.408,15.307,15.378,247.4904
20.03.2018 00:00:00.000,15.317,15.318,15.187,15.257,257.0607
