"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"28","2024-02-08 14:51:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07613","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","","0.00000","","250.60"
"29","2024-02-08 14:51:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07536","","","","","","","","","","","","","","",""
"30","2024-02-08 14:51:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07694","","","","","","","","","","","","","","",""
"31","2024-02-08 14:51:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"32","2024-02-08 15:15:55 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07536","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","2.31000","","252.91"
"33","2024-02-08 15:15:55 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"34","2024-02-09 05:36:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07772","","1.07697","","","","","","","","",""
"35","2024-02-09 05:36:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07732","3000.00","Sell","0.1500","","","","","0.00000","0.0000","0.0000","","","0.00000","","252.91"
"36","2024-02-09 05:36:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07697","","","","","","","","","","","","","","",""
"37","2024-02-09 05:36:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07772","","","","","","","","","","","","","","",""
"38","2024-02-09 05:36:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
