"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"167","2024-02-13 13:36:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07133","","1.07531","","","","","","","","",""
"168","2024-02-13 13:36:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07251","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","","0.00000","","251.89"
"169","2024-02-13 13:36:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07531","","","","","","","","","","","","","","",""
"170","2024-02-13 13:36:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07133","","","","","","","","","","","","","","",""
"171","2024-02-13 13:36:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"172","2024-02-13 13:43:34 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07133","3000.00","Sell","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-3.54000","","248.35"
"173","2024-02-13 13:43:34 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"174","2024-02-13 13:46:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07014","","1.07416","","","","","","","","",""
"175","2024-02-13 13:46:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07152","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","","0.00000","","248.35"
"176","2024-02-13 13:46:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07416","","","","","","","","","","","","","","",""
"177","2024-02-13 13:46:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07014","","","","","","","","","","","","","","",""
"178","2024-02-13 13:46:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"179","2024-02-13 14:00:40 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07012","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","-4.20000","","244.15"
"180","2024-02-13 14:00:40 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"181","2024-02-13 15:36:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07356","","1.07143","","","","","","","","",""
"182","2024-02-13 15:36:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07236","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","244.15"
"183","2024-02-13 15:36:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07143","","","","","","","","","","","","","","",""
"184","2024-02-13 15:36:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07356","","","","","","","","","","","","","","",""
"185","2024-02-13 15:36:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"186","2024-02-13 15:55:04 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07143","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","2.79000","","246.94"
"187","2024-02-13 15:55:04 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"188","2024-02-14 07:06:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07040","","1.07167","","","","","","","","",""
"189","2024-02-14 07:06:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07073","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","","0.00000","","246.94"
"190","2024-02-14 07:06:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07167","","","","","","","","","","","","","","",""
"191","2024-02-14 07:06:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07040","","","","","","","","","","","","","","",""
"192","2024-02-14 07:06:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"193","2024-02-14 08:01:27 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07039","3000.00","Sell","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-1.02000","","245.92"
"194","2024-02-14 08:01:27 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"195","2024-02-14 11:01:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07092","","1.06968","","","","","","","","",""
"196","2024-02-14 11:01:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07034","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","245.92"
"197","2024-02-14 11:01:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.06968","","","","","","","","","","","","","","",""
"198","2024-02-14 11:01:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07092","","","","","","","","","","","","","","",""
"199","2024-02-14 11:01:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"200","2024-02-14 11:57:50 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07093","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-1.77000","","244.15"
"201","2024-02-14 11:57:50 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"202","2024-02-14 12:01:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07137","","1.07000","","","","","","","","",""
"203","2024-02-14 12:01:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07090","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","244.15"
"204","2024-02-14 12:01:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07000","","","","","","","","","","","","","","",""
"205","2024-02-14 12:01:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07137","","","","","","","","","","","","","","",""
"206","2024-02-14 12:01:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"207","2024-02-14 13:09:59 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07137","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","-1.41000","","242.74"
"208","2024-02-14 13:09:59 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"209","2024-02-15 05:06:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07316","","1.07236","","","","","","","","",""
"210","2024-02-15 05:06:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07270","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","","0.00000","","242.74"
"211","2024-02-15 05:06:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07236","","","","","","","","","","","","","","",""
"212","2024-02-15 05:06:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07316","","","","","","","","","","","","","","",""
"213","2024-02-15 05:06:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"214","2024-02-15 05:29:20 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07316","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","-1.38000","","241.36"
"215","2024-02-15 05:29:20 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"216","2024-02-15 05:31:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07347","","1.07268","","","","","","","","",""
"217","2024-02-15 05:31:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07310","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","241.36"
"218","2024-02-15 05:31:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07268","","","","","","","","","","","","","","",""
"219","2024-02-15 05:31:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07347","","","","","","","","","","","","","","",""
"220","2024-02-15 05:31:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"221","2024-02-15 07:22:52 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07348","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","-1.14000","","240.22"
"222","2024-02-15 07:22:52 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"223","2024-02-15 09:16:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07246","","1.07373","","","","","","","","",""
"224","2024-02-15 09:16:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07303","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","240.22"
"225","2024-02-15 09:16:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07373","","","","","","","","","","","","","","",""
"226","2024-02-15 09:16:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07246","","","","","","","","","","","","","","",""
"227","2024-02-15 09:16:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"228","2024-02-15 11:02:18 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07373","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","2.10000","","242.32"
"229","2024-02-15 11:02:18 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"230","2024-02-15 15:41:17 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07613","","1.07801","","","","","","","","",""
"231","2024-02-15 15:41:17 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07675","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","242.32"
"232","2024-02-15 15:41:17 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07801","","","","","","","","","","","","","","",""
"233","2024-02-15 15:41:17 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07613","","","","","","","","","","","","","","",""
"234","2024-02-15 15:41:17 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"235","2024-02-15 15:53:25 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07613","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","-1.86000","","240.46"
"236","2024-02-15 15:53:25 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"237","2024-02-15 15:56:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07527","","1.07709","","","","","","","","",""
"238","2024-02-15 15:56:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07611","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","240.46"
"239","2024-02-15 15:56:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07709","","","","","","","","","","","","","","",""
"240","2024-02-15 15:56:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07527","","","","","","","","","","","","","","",""
"241","2024-02-15 15:56:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"242","2024-02-15 19:07:11 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07710","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","2.97000","","243.43"
"243","2024-02-15 19:07:11 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"244","2024-02-16 05:06:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07651","","1.07569","","","","","","","","",""
"245","2024-02-16 05:06:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07605","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","","0.00000","","243.43"
"246","2024-02-16 05:06:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07569","","","","","","","","","","","","","","",""
"247","2024-02-16 05:06:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07651","","","","","","","","","","","","","","",""
"248","2024-02-16 05:06:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"249","2024-02-16 07:00:37 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07651","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-1.38000","","242.05"
"250","2024-02-16 07:00:37 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"251","2024-02-16 07:06:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07670","","1.07583","","","","","","","","",""
"252","2024-02-16 07:06:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07634","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","","0.00000","","242.05"
"253","2024-02-16 07:06:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07583","","","","","","","","","","","","","","",""
"254","2024-02-16 07:06:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07670","","","","","","","","","","","","","","",""
"255","2024-02-16 07:06:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"256","2024-02-16 07:26:37 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07670","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-1.08000","","240.97"
"257","2024-02-16 07:26:37 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"258","2024-02-16 09:46:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07609","","1.07730","","","","","","","","",""
"259","2024-02-16 09:46:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07662","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","240.97"
"260","2024-02-16 09:46:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07730","","","","","","","","","","","","","","",""
"261","2024-02-16 09:46:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07609","","","","","","","","","","","","","","",""
"262","2024-02-16 09:46:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"263","2024-02-16 11:14:51 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07731","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","2.07000","","243.04"
"264","2024-02-16 11:14:51 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"265","2024-02-16 12:41:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07662","","1.07776","","","","","","","","",""
"266","2024-02-16 12:41:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07724","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","","0.00000","","243.04"
"267","2024-02-16 12:41:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07776","","","","","","","","","","","","","","",""
"268","2024-02-16 12:41:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07662","","","","","","","","","","","","","","",""
"269","2024-02-16 12:41:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"270","2024-02-16 13:07:41 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07662","3000.00","Sell","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-1.86000","","241.18"
"271","2024-02-16 13:07:41 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"272","2024-02-16 13:16:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07609","","1.07728","","","","","","","","",""
"273","2024-02-16 13:16:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07674","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","241.18"
"274","2024-02-16 13:16:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07728","","","","","","","","","","","","","","",""
"275","2024-02-16 13:16:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07609","","","","","","","","","","","","","","",""
"276","2024-02-16 13:16:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"277","2024-02-16 13:30:01 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07589","3000.00","Sell","0.5100","","","","","0.00000","0.0000","0.0000","","1.0000","-2.55000","","238.63"
"278","2024-02-16 13:30:01 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"279","2024-02-16 13:36:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07332","","1.07568","","","","","","","","",""
"280","2024-02-16 13:36:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07368","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","","0.00000","","238.63"
"281","2024-02-16 13:36:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07568","","","","","","","","","","","","","","",""
"282","2024-02-16 13:36:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07332","","","","","","","","","","","","","","",""
"283","2024-02-16 13:36:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"284","2024-02-16 13:36:17 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07331","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","-1.11000","","237.52"
"285","2024-02-16 13:36:17 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"286","2024-02-16 15:11:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07710","","1.07513","","","","","","","","",""
"287","2024-02-16 15:11:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07616","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","237.52"
"288","2024-02-16 15:11:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07513","","","","","","","","","","","","","","",""
"289","2024-02-16 15:11:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07710","","","","","","","","","","","","","","",""
"290","2024-02-16 15:11:02 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"291","2024-02-16 15:17:18 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07712","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","-2.88000","","234.64"
"292","2024-02-16 15:17:18 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"293","2024-02-16 15:21:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07768","","1.07573","","","","","","","","",""
"294","2024-02-16 15:21:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07673","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","","0.00000","","234.64"
"295","2024-02-16 15:21:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07573","","","","","","","","","","","","","","",""
"296","2024-02-16 15:21:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07768","","","","","","","","","","","","","","",""
"297","2024-02-16 15:21:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"298","2024-02-16 15:43:27 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07771","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-2.94000","","231.70"
"299","2024-02-16 15:43:27 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"300","2024-02-19 05:21:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07832","","1.07746","","","","","","","","",""
"301","2024-02-19 05:21:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07788","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","231.70"
"302","2024-02-19 05:21:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07746","","","","","","","","","","","","","","",""
"303","2024-02-19 05:21:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07832","","","","","","","","","","","","","","",""
"304","2024-02-19 05:21:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"305","2024-02-19 05:39:54 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07833","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-1.35000","","230.35"
"306","2024-02-19 05:39:54 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"307","2024-02-19 05:41:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07863","","1.07784","","","","","","","","",""
"308","2024-02-19 05:41:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07819","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","230.35"
"309","2024-02-19 05:41:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07784","","","","","","","","","","","","","","",""
"310","2024-02-19 05:41:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07863","","","","","","","","","","","","","","",""
"311","2024-02-19 05:41:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"312","2024-02-19 06:54:43 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07864","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","-1.35000","","229.00"
"313","2024-02-19 06:54:43 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"314","2024-02-19 08:01:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07784","","1.07881","","","","","","","","",""
"315","2024-02-19 08:01:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07836","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","229.00"
"316","2024-02-19 08:01:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07881","","","","","","","","","","","","","","",""
"317","2024-02-19 08:01:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07784","","","","","","","","","","","","","","",""
"318","2024-02-19 08:01:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"319","2024-02-19 08:56:01 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07783","3000.00","Sell","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-1.59000","","227.41"
"320","2024-02-19 08:56:01 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"321","2024-02-19 09:01:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07731","","1.07852","","","","","","","","",""
"322","2024-02-19 09:01:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07793","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","","0.00000","","227.41"
"323","2024-02-19 09:01:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07852","","","","","","","","","","","","","","",""
"324","2024-02-19 09:01:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07731","","","","","","","","","","","","","","",""
"325","2024-02-19 09:01:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"326","2024-02-19 09:31:00 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07729","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","-1.92000","","225.49"
"327","2024-02-19 09:31:00 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"328","2024-02-19 10:31:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07821","","1.07713","","","","","","","","",""
"329","2024-02-19 10:31:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07771","3000.00","Sell","0.1500","","","","","0.00000","0.0000","0.0000","","","0.00000","","225.49"
"330","2024-02-19 10:31:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07713","","","","","","","","","","","","","","",""
"331","2024-02-19 10:31:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07821","","","","","","","","","","","","","","",""
"332","2024-02-19 10:31:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"333","2024-02-19 11:34:06 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07821","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","-1.50000","","223.99"
"334","2024-02-19 11:34:06 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"335","2024-02-19 11:36:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07860","","1.07758","","","","","","","","",""
"336","2024-02-19 11:36:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07803","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","","0.00000","","223.99"
"337","2024-02-19 11:36:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07758","","","","","","","","","","","","","","",""
"338","2024-02-19 11:36:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07860","","","","","","","","","","","","","","",""
"339","2024-02-19 11:36:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"340","2024-02-19 12:11:52 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07756","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","1.41000","","225.40"
"341","2024-02-19 12:11:52 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"342","2024-02-19 16:01:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07721","","1.07613","","","","","","","","",""
"343","2024-02-19 16:01:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07661","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","225.40"
"344","2024-02-19 16:01:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07613","","","","","","","","","","","","","","",""
